question_id,participant_id,time,correct,type,size,layout,domain_question
18,23,18.656,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
17,23,14.997,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
33,23,8.374,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
14,23,8.891,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
10,23,24.251,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
31,23,20.588,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
9,23,7.796,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
11,23,10.282,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
24,23,54.063,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
27,23,21.808,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
32,23,61.02,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
8,23,40.45,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
22,23,26.296,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
35,23,17.331,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
29,23,18.66,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
13,23,15.592,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
28,23,76.686,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
7,23,27.432,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
30,23,53.011,no                            ,node-linked                   ,large                         ,parallel                      ,drinking                      
36,23,35.77,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
15,23,13.506,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
2,23,38.46,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
1,23,8.352,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
5,23,19.783,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
12,23,29.936,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
34,23,62.839,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
20,23,25.808,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
19,23,29.975,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
29,24,56.159,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
9,24,11.087,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
